gender,age_range,district,city,level_of_education,level_of_employment,usage_status,usage_rank,purpose,apps,ui_ux,security,open_status
Female,18 - 25,Badulla,Bandarawela ,Bachelor’s Degree or equivalent,"Business, management and administration",No,,,,,,
Male,18 - 25,Kurunegala,Nikaweratiya,Bachelor’s Degree or equivalent,Infomation Technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Combank Digital – Commercial Bank,Unsatisfied,Neutral,Unsatisfied
Male,18 - 25,Colombo,Maradana,Advanced Level  or equivalent,Undergraduate,Yes,1 - 10 times per month,To pay bills / reloads / standing orders,Combank Digital – Commercial Bank,Neutral,Satisfied,Neutral
Male,18 - 25,Kalutara,Panadura,Bachelor’s Degree or equivalent,Science and technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Top up mobile credits,Combank Digital – Commercial Bank;Flash - Commercial Bank,Satisfied,Neutral,Very Satisfied
Male,26 - 35,Colombo,Colombo 05,Bachelor’s Degree or equivalent,Science and technology,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history,Sampath Bank Mobile App - Sampath Bank;NDB Neos ,Very Satisfied,Satisfied,Very Satisfied
Male,18 - 25,Colombo,Malabe,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon,Satisfied,Satisfied,Satisfied
Male,26 - 35,Batticaloa,Kattankudy,Bachelor’s Degree or equivalent,Government,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,People’s Wave – People’s Bank,Satisfied,Satisfied,Satisfied
Male,18 - 25,Badulla,Bandarawela,Diploma  or equivalent,Sales,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Nations Mobile Banking – Nations Trust Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Female,18 - 25,Colombo,Kahathuduwa ,Bachelor’s Degree or equivalent,Community and social services,No,,,,,,
Female,18 - 25,Matara,Matara,Bachelor’s Degree or equivalent,,No,,,,,,
Female,18 - 25,Matara,Matara,Bachelor’s Degree or equivalent,,No,,,,,,
Male,26 - 35,Badulla,Welimada,Bachelor’s Degree or equivalent,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,Combank Digital – Commercial Bank,Satisfied,Satisfied,Very Satisfied
Male,18 - 25,Badulla,Badulla,Diploma  or equivalent,"Business, management and administration",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Communicate with bank,Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied
Female,18 - 25,Badulla,Welimada,Diploma  or equivalent,Banking,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage fixed deposits;Top up mobile credits,"SOLO – Hatton National Bank;Hatton national bank mobile banking app, Hatton national bank digital banking app",Very Satisfied,Very Satisfied,Very Satisfied
Female,26 - 35,Colombo,Kirulapone ,Bachelor’s Degree or equivalent,Finance and taxat,No,,,,,,
Female,18 - 25,Nuwara Eliya,Nuwara eliya,Advanced Level  or equivalent,Banking,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Manage fixed deposits,SOLO – Hatton National Bank;HNB Digital Banking app,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Male,18 - 25,Colombo,Maradana ,Advanced Level  or equivalent,,Yes,1 - 10 times per month,For online money transfer to family and friends;To check balance and transaction history,People’s Wave – People’s Bank;SOLO – Hatton National Bank;Flash - Commercial Bank,Neutral,Neutral,Very Satisfied
Female,26 - 35,Matale,Matale,Bachelor’s Degree or equivalent,,No,,,,,,
Female,18 - 25,Colombo,Rathmalana,Bachelor’s Degree or equivalent,Architecture and engineering,No,,,,,,
Male,26 - 35,Jaffna,Jaffna,Bachelor’s Degree or equivalent,,No,,,,,,
Female,18 - 25,Colombo,Maharagama,Bachelor’s Degree or equivalent,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied
Female,18 - 25,Matara,Matara ,Bachelor’s Degree or equivalent,Science and technology,No,,,,,,
